TEAM_ID,MISSION_TIME,PACKET_COUNT,PACKET_TYPE,TP_ALTITUDE,TP_TEMP,TP_VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,"MAG_P,",MAG_Y,POINTING_ERROR,TP_SOFTWARE_STATE
1076,00:00:00,40,67,100,10,5,0,408.62,27.07,0,1:41,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:01,42,67,101,10,5,0,408.31,27.07,0,1:43,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:02,44,67,102,10,5,0,408.28,27.05,0,1:45,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:03,46,67,103,10,5,0,408.22,27.04,0,1:47,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:04,48,67,104,10,5,0,408.41,27.04,0,1:49,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:05,50,67,105,10,5,0,408.4,27.02,0,1:51,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:06,52,67,106,10,5,0,408.55,27,0,1:53,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:07,54,67,107,10,5,0,408.63,26.97,0,1:55,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:08,56,67,108,10,5,0,408.62,26.95,0,1:57,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:09,58,67,109,10,5,0,408.73,26.93,0,1:59,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:10,60,67,110,10,5,0,408.54,26.93,0,1:61,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:11,62,67,111,10,5,0,408.6,26.93,0,1:63,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:12,64,67,112,10,5,0,408.62,26.92,0,1:65,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:13,66,67,113,10,5,0,408.19,26.91,0,1:67,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:14,68,67,114,10,5,0,408.31,26.9,0,1:69,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:15,70,67,115,10,5,0,408.32,26.89,0,1:71,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:16,72,67,116,10,5,0,408.34,26.88,0,1:73,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:17,74,67,117,10,5,0,408.51,26.89,0,1:75,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:18,76,67,118,10,5,0,408.41,26.88,0,1:77,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:19,78,67,119,10,5,0,408.41,26.9,0,1:79,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:20,80,67,120,10,5,0,408.41,26.9,0,1:81,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:21,82,67,121,10,5,0,408.31,26.91,0,1:83,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:22,84,67,122,10,5,0,408.18,26.92,0,1:85,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:23,86,67,123,10,5,0,408.69,26.92,0,1:87,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:24,88,67,124,10,5,0,408.49,26.92,0,1:89,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:25,90,67,125,10,5,0,408.42,26.91,1.25,1:91,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:26,92,67,126,10,5,0,408.45,26.9,0,1:93,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:27,94,67,127,10,5,0,408.41,26.92,0,1:95,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:28,96,67,128,10,5,0,408.5,26.92,0,1:97,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:29,98,67,129,10,5,0,408.38,26.91,0,1:99,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:30,100,67,130,10,5,0,408.58,26.89,0,1:101,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:31,102,67,131,10,5,0,408.6,26.88,0,1:103,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:32,104,67,132,10,5,0,408.41,26.85,0,1:105,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:33,106,67,133,10,5,0,408.46,26.85,0,1:107,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:34,108,67,134,10,5,0,408.37,26.85,0,1:109,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:35,110,67,135,10,5,0,408.25,26.86,0,1:111,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:36,112,67,136,10,5,0,408.36,26.83,0,1:113,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:37,114,67,137,10,5,0,408.28,26.84,0,1:115,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:38,116,67,138,10,5,0,408.44,26.83,0,1:117,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:39,118,67,139,10,5,0,408.05,26.83,0,1:119,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:40,120,67,140,10,5,0,408.41,26.83,0,1:121,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:41,122,67,141,10,5,0,408.37,26.83,0,1:123,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:42,124,67,142,10,5,0,408.19,26.84,0,1:125,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:43,126,67,143,10,5,0,408.28,26.83,0,1:127,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:44,128,67,144,10,5,0,408.23,26.84,0,1:129,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:45,130,67,145,10,5,0,408.09,26.84,0,1:131,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:46,132,67,146,10,5,0,408.26,26.82,0,1:133,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:47,134,67,147,10,5,0,408.26,26.81,0,1:135,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:48,136,67,148,10,5,0,408.58,26.81,1.25,1:137,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
1076,00:00:49,138,67,149,10,5,0,408.55,26.81,0,1:139,39.8001,-81.8001,0,2,LAUNCH_WAIT,CXON
